Date of Interview,Client name,Industry,Location,position,skillset,Interview Type,Gender,Candidate Current Location,Candidate Job Location,Interview Venue,Candidate Native location,necessary_permission,unscheduled_meetings,followup_3hours_call,alternative_number,resume_printout_JD,venue_details,shared_call_letter,Expected Attendance,Marital Status
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,0
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,0
57,10,0,2,1,55,1,0,2,2,2,8,1,1,1,1,1,1,1,1,0
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,0
57,10,0,2,1,55,1,0,2,2,2,8,1,1,1,1,1,1,1,1,0
57,10,0,2,1,55,1,0,2,2,2,8,1,1,1,1,1,1,1,1,0
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
57,10,0,2,1,55,1,0,2,2,2,8,1,1,1,1,1,1,1,1,0
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
57,10,0,2,1,55,1,0,2,2,2,8,1,1,1,1,1,1,1,1,1
57,10,0,2,1,55,1,0,2,2,2,8,1,1,1,1,1,1,1,1,1
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
57,10,0,2,1,55,1,1,2,2,2,8,1,1,1,1,1,1,0,0,0
57,10,0,2,1,55,1,1,2,2,2,8,0,1,1,1,0,1,1,0,1
57,10,0,2,1,55,1,1,2,2,2,8,0,1,1,0,1,1,1,0,1
57,10,0,2,1,55,1,0,2,2,2,8,1,1,1,0,1,0,1,0,1
57,10,0,2,1,55,1,1,2,2,2,8,0,1,1,1,1,0,1,0,1
57,10,0,2,1,55,1,1,2,2,2,8,0,1,1,1,1,0,0,0,0
55,10,0,2,1,7,1,1,2,2,2,8,1,1,1,1,1,1,1,1,0
55,10,0,2,1,7,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
55,10,0,2,1,7,1,1,2,2,2,18,1,1,1,1,1,1,1,1,1
55,10,0,2,1,7,1,0,2,2,2,8,1,1,1,1,1,1,1,1,0
58,10,0,2,1,7,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
58,10,0,2,1,7,1,1,2,2,2,8,1,1,1,1,1,1,1,1,0
58,10,0,2,1,7,1,1,2,2,2,18,1,1,1,1,1,1,1,1,0
58,10,0,2,1,7,1,0,2,2,2,18,1,1,1,1,1,1,1,1,0
53,10,0,2,1,7,1,1,2,2,2,18,1,1,1,1,1,1,1,1,0
56,10,0,2,1,7,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
56,10,0,2,1,7,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
56,10,0,2,1,7,1,0,2,2,2,8,1,1,1,1,1,1,1,1,0
56,10,0,2,1,7,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
58,10,0,2,1,7,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
58,10,0,2,1,7,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
58,10,0,2,1,7,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
58,10,0,2,1,7,1,1,2,2,2,18,1,1,1,1,1,1,1,1,0
54,10,0,2,1,7,1,1,2,2,2,18,1,1,1,1,1,1,1,1,0
54,10,0,2,1,7,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
54,10,0,2,1,7,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
54,10,0,2,1,7,1,0,2,2,2,18,1,1,1,1,1,1,1,1,1
54,10,0,2,1,7,1,0,2,2,2,10,1,1,1,1,1,1,1,1,1
55,10,0,2,1,7,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
55,10,0,2,1,7,1,0,2,2,2,8,1,1,1,1,1,1,1,1,1
55,10,0,2,1,7,1,0,2,2,2,10,1,1,1,1,1,1,1,1,0
55,10,0,2,1,7,1,1,2,2,2,18,1,1,1,1,1,1,1,1,1
58,10,0,2,1,7,1,1,2,2,2,18,1,1,1,1,1,1,1,1,1
58,10,0,2,1,7,1,1,2,2,2,18,1,1,1,1,1,1,1,1,1
58,10,0,2,1,7,1,1,2,2,2,34,1,1,1,1,1,1,1,1,1
58,10,0,2,1,7,1,0,2,2,2,34,1,1,1,1,1,1,1,1,0
53,10,0,2,1,7,1,1,2,2,2,8,0,0,0,0,0,1,1,0,1
56,10,0,2,1,7,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
56,10,0,2,1,7,1,0,2,2,2,8,1,1,1,1,1,1,1,1,1
56,10,0,2,1,7,1,1,2,2,2,8,0,1,1,1,0,0,0,0,1
58,10,0,2,1,7,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
58,10,0,2,1,7,1,0,2,2,2,8,0,1,1,1,0,0,0,0,1
58,10,0,2,1,7,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
58,10,0,2,1,7,1,0,2,2,2,8,1,1,1,1,1,1,1,1,1
54,10,0,2,1,7,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
54,10,0,2,1,7,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
54,10,0,2,1,7,1,0,2,2,2,8,1,1,1,1,1,1,1,1,0
54,10,0,2,1,7,1,0,2,2,2,8,1,1,1,1,1,1,1,1,0
54,0,0,1,0,11,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1
55,0,0,1,0,11,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1
55,0,0,1,0,11,0,1,1,1,1,29,1,1,1,1,1,1,1,1,1
55,0,0,1,0,11,0,1,1,1,1,23,1,1,1,1,1,1,1,1,1
55,0,0,1,0,11,0,1,1,1,1,6,1,1,1,1,1,1,1,1,1
58,0,0,1,0,11,0,1,1,1,1,6,1,1,1,1,1,1,1,1,1
58,0,0,1,0,11,0,1,1,1,1,6,1,1,1,1,1,1,1,1,1
58,0,0,1,0,11,0,0,1,1,1,8,1,1,1,1,1,1,1,1,0
58,0,0,1,0,11,0,1,1,1,1,29,1,1,1,1,1,1,1,1,1
53,0,0,1,0,11,0,0,1,1,1,18,1,1,1,1,1,1,1,1,0
56,0,0,1,0,11,0,1,1,1,1,20,1,1,1,1,1,1,1,1,1
56,0,0,1,0,11,0,1,1,1,1,6,1,1,1,1,1,1,1,1,1
56,0,0,1,0,11,0,1,1,1,1,8,1,1,1,1,1,1,1,1,1
56,0,0,1,0,11,0,1,1,1,1,8,1,1,1,1,1,1,1,1,1
58,0,0,1,0,11,0,1,1,1,1,6,1,1,1,1,1,1,1,1,1
58,0,0,1,0,11,0,1,1,1,1,6,1,1,1,1,1,1,1,1,1
58,0,0,1,0,11,0,1,1,1,1,6,1,1,1,1,1,1,1,1,1
58,0,0,1,0,11,0,1,1,1,1,6,1,1,1,1,1,1,1,1,1
54,0,0,1,0,11,0,1,1,1,1,34,1,1,1,1,1,1,1,1,1
54,0,0,1,0,11,0,1,1,1,1,6,1,1,1,1,1,1,1,1,1
54,0,0,1,0,11,0,1,1,1,1,6,1,1,1,1,1,1,1,1,1
54,0,0,1,0,11,0,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,0,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,0,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,0,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,0,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,0,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,0,1,1,1,6,1,1,1,1,1,1,1,1,0
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,0,1,1,1,6,1,1,1,1,1,1,1,1,0
3,10,0,1,1,22,2,0,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,0,1,1,1,6,1,1,1,1,1,1,1,1,0
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,0,1,1,1,6,1,1,1,1,1,1,1,1,0
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,0,1,1,1,6,1,1,1,1,1,1,1,1,0
3,10,0,1,1,22,2,0,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,0,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,0,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,0,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,0,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,0,1,1,1,6,1,1,1,1,1,1,1,1,0
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,0
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,0
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,0,1,1,1,6,1,1,1,1,1,1,1,1,0
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,0
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,0
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,0
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,0
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,0
3,10,0,1,1,22,2,1,1,1,1,6,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,1,1,1,1,20,1,1,1,1,1,1,1,1,0
22,10,0,1,1,6,1,0,1,1,1,27,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,1,1,1,1,23,1,1,1,1,1,1,1,1,0
22,10,0,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,0,1,1,1,6,1,1,1,1,1,1,1,1,0
22,10,0,1,1,6,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,1,1,1,1,18,0,1,1,1,1,1,1,0,1
22,10,0,1,1,6,1,0,1,1,1,18,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,0,1,1,1,8,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,1,1,1,1,18,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,1,1,1,1,20,1,1,1,1,1,1,1,1,0
22,10,0,1,1,6,1,1,1,1,1,8,0,1,1,1,1,1,1,0,0
22,10,0,1,1,6,1,1,1,1,1,18,1,1,1,1,1,1,1,1,0
22,10,0,1,1,6,1,1,1,1,1,18,1,1,0,1,0,1,1,0,0
22,10,0,1,1,6,1,1,1,1,1,18,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,0,1,1,1,6,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,1,1,1,1,29,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,0,1,1,1,12,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,1,1,1,1,15,1,1,1,1,1,1,1,1,0
22,10,0,1,1,6,1,1,1,1,1,23,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,0,1,1,1,12,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,1,1,1,1,26,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,1,1,1,1,29,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,0,1,1,1,6,1,1,1,1,1,1,1,1,0
22,10,0,1,1,6,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,1,1,1,1,29,1,1,1,0,1,1,1,0,0
22,10,0,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,1,1,1,1,29,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,0,0,1
22,10,0,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,0,1,1,1,20,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,0,1,1,1,18,1,1,1,1,1,1,1,1,1
22,10,0,1,1,6,1,1,1,1,1,18,1,1,1,1,1,1,1,1,0
22,10,0,1,1,6,1,0,1,1,1,6,1,1,1,1,1,1,1,1,0
61,10,0,2,1,15,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
61,10,0,2,1,15,1,1,2,2,2,18,1,1,1,1,1,1,1,1,0
61,10,0,2,1,15,1,0,2,2,2,8,1,1,1,1,1,1,1,1,0
61,10,0,2,1,15,1,0,2,2,2,8,1,1,1,1,1,1,1,1,0
61,10,0,2,1,15,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
61,10,0,2,1,15,1,1,2,2,2,8,1,1,1,1,1,1,1,1,1
61,10,0,2,1,15,1,1,2,2,2,8,1,1,1,0,1,1,1,0,1
61,10,0,2,1,15,1,1,2,2,2,8,1,1,1,1,1,1,1,1,0
61,10,0,2,1,15,1,1,2,2,2,18,1,1,1,1,1,1,1,1,1
61,10,0,2,1,15,1,1,2,2,2,18,1,1,1,1,1,1,1,1,1
61,10,0,2,1,15,1,1,2,2,2,8,1,1,1,1,0,1,1,0,1
8,7,5,5,0,13,0,1,5,2,5,18,1,1,1,1,1,1,1,1,0
8,7,5,5,0,60,1,1,5,2,5,38,1,1,1,1,1,0,1,0,0
8,7,5,5,0,60,0,1,5,2,5,18,1,1,1,1,1,1,1,1,0
8,7,5,5,0,61,0,1,5,2,5,38,1,1,1,1,1,1,1,1,0
8,7,5,5,0,61,0,0,5,2,5,8,1,1,1,1,1,1,1,1,1
8,7,5,5,0,61,0,1,5,2,5,18,1,1,1,1,1,1,1,1,0
8,7,5,5,0,20,0,1,5,2,5,18,1,1,1,1,1,1,1,1,0
8,7,5,5,0,20,0,1,5,2,5,18,1,1,1,1,1,1,1,1,0
8,7,5,5,0,13,0,1,5,2,5,5,1,1,0,1,1,1,1,0,0
8,7,5,5,0,80,0,0,5,2,5,18,1,1,1,0,1,1,1,0,1
81,7,5,1,1,62,0,1,1,2,5,18,1,1,1,1,1,1,1,1,0
81,7,5,1,1,62,0,1,1,6,5,38,1,1,1,1,1,1,1,1,0
81,7,5,5,1,62,0,1,5,6,5,18,1,1,0,1,1,1,0,0,0
81,7,5,1,1,62,0,0,1,6,5,2,1,1,1,1,1,1,1,1,1
80,7,5,5,1,62,0,0,5,6,5,2,1,1,1,1,1,1,1,1,1
81,7,5,5,1,62,0,1,5,6,5,18,1,1,1,1,1,1,1,1,0
40,7,5,5,1,8,0,1,5,6,5,18,1,1,1,1,0,1,1,0,1
40,7,5,5,1,8,0,1,5,6,5,38,1,1,0,1,0,1,1,0,0
40,7,5,5,1,8,0,1,5,6,5,38,1,1,1,1,1,1,1,1,0
46,7,5,5,1,8,0,1,5,6,5,18,1,1,1,1,1,1,1,1,1
46,7,5,5,1,8,0,0,5,6,5,18,1,1,1,1,1,1,1,1,1
46,7,5,5,1,8,0,1,5,6,5,18,1,1,1,1,1,1,1,1,0
46,7,5,2,1,9,0,1,2,6,5,21,1,1,1,1,1,1,1,1,1
46,7,5,1,1,9,0,1,1,6,5,37,1,0,1,1,1,1,0,0,1
49,7,5,5,1,8,0,0,5,6,5,37,1,1,1,0,1,1,1,0,1
49,7,5,5,1,8,0,1,5,6,5,37,1,1,1,1,1,1,1,1,0
49,7,5,5,1,8,0,1,5,6,5,18,1,1,1,1,1,1,1,1,1
26,8,5,2,0,72,0,1,2,2,2,8,1,1,1,1,1,1,1,1,0
26,8,5,2,0,72,0,1,2,2,2,8,0,0,1,1,0,0,0,0,0
33,8,5,2,0,78,0,1,2,2,2,8,1,1,1,1,1,1,1,1,1
36,8,5,2,0,72,0,1,2,2,2,11,1,1,1,1,1,1,1,1,0
38,8,5,2,0,78,0,1,2,2,2,33,1,1,1,1,1,1,1,1,0
38,8,5,2,0,78,0,1,2,2,2,8,1,1,1,1,1,1,1,1,1
38,8,5,2,0,72,0,1,2,2,2,8,1,1,1,1,1,1,1,1,0
38,8,5,2,0,72,0,1,2,2,2,36,1,1,1,1,1,1,1,1,0
